
root@lamp-s-1vcpu-1gb-tor1-01:~# clear
root@lamp-s-1vcpu-1gb-tor1-01:~# tcpdump -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
18:56:27.191993 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 2889966139:2889966247, ack 1838405809, win 310, length 108
18:56:27.204829 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 2388:2424, ack 1, win 310, length 36
18:56:27.204971 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 2424:2588, ack 1, win 310, length 164
18:56:27.205080 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 2588:2624, ack 1, win 310, length 36
18:56:27.205223 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 2624:2780, ack 1, win 310, length 156
18:56:27.205326 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 2780:2816, ack 1, win 310, length 36
18:56:27.205463 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 2816:2980, ack 1, win 310, length 164
18:56:27.205707 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 3016:3172, ack 1, win 310, length 156
18:56:27.206024 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 3208:3372, ack 1, win 310, length 164
18:56:27.206288 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 3408:3564, ack 1, win 310, length 156
18:56:27.206556 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 3600:3764, ack 1, win 310, length 164
18:56:27.206799 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 3800:3956, ack 1, win 310, length 156
18:56:27.216612 IP 198.96.85.21.40779 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 3956, win 512, length 0
18:56:27.216682 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 3956:5192, ack 1, win 310, length 1236
18:56:27.216887 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 5192:5340, ack 1, win 310, length 148
18:56:27.217000 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 5340:5376, ack 1, win 310, length 36
18:56:27.217142 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 5376:5540, ack 1, win 310, length 164
18:56:27.217244 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 5540:5576, ack 1, win 310, length 36
18:56:27.217376 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 5576:5740, ack 1, win 310, length 164
18:56:27.217476 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 5740:5776, ack 1, win 310, length 36
18:56:27.217612 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 5776:5932, ack 1, win 310, length 156
18:56:27.217716 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 5932:5968, ack 1, win 310, length 36
18:56:27.217848 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 5968:6132, ack 1, win 310, length 164
18:56:27.218174 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 6168:6452, ack 1, win 310, length 284
18:56:27.218419 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 6452:6984, ack 1, win 310, length 532
18:56:27.218620 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 6984:7276, ack 1, win 310, length 292
18:56:27.218779 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 7276:7440, ack 1, win 310, length 164
18:56:27.218934 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 7440:7604, ack 1, win 310, length 164
18:56:27.219091 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 7604:7768, ack 1, win 310, length 164
18:56:27.219246 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 7768:7932, ack 1, win 310, length 164
18:56:27.219406 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 7932:8096, ack 1, win 310, length 164
18:56:27.219559 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 8096:8260, ack 1, win 310, length 164
18:56:27.219715 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 8260:8424, ack 1, win 310, length 164
18:56:27.219884 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 8424:8588, ack 1, win 310, length 164
18:56:27.220078 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 8588:8752, ack 1, win 310, length 164
18:56:27.220241 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 8752:8916, ack 1, win 310, length 164
18:56:27.220400 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 8916:9080, ack 1, win 310, length 164
18:56:27.220559 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 9080:9244, ack 1, win 310, length 164
18:56:27.220718 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 9244:9408, ack 1, win 310, length 164
18:56:27.220877 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 9408:9572, ack 1, win 310, length 164
18:56:27.221032 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 9572:9736, ack 1, win 310, length 164
18:56:27.221187 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 9736:9900, ack 1, win 310, length 164
18:56:27.221334 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 9900:10064, ack 1, win 310, length 164
18:56:27.221485 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 10064:10228, ack 1, win 310, length 164
18:56:27.221636 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 10228:10392, ack 1, win 310, length 164
18:56:27.221793 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 10392:10556, ack 1, win 310, length 164
18:56:27.221983 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 10556:10720, ack 1, win 310, length 164
18:56:27.222139 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 10720:10884, ack 1, win 310, length 164
18:56:27.222292 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 10884:11048, ack 1, win 310, length 164
18:56:27.222439 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 11048:11212, ack 1, win 310, length 164
18:56:27.222587 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 11212:11376, ack 1, win 310, length 164
18:56:27.222742 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 11376:11540, ack 1, win 310, length 164
18:56:27.229606 IP 198.96.85.21.40779 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 10228, win 512, length 0
18:56:27.229703 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 11540:11704, ack 1, win 310, length 164
18:56:27.229738 IP 198.96.85.21.40779 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 11540, win 512, length 0
18:56:27.230089 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 11704:12092, ack 1, win 310, length 388
18:56:27.230270 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 12092:12256, ack 1, win 310, length 164
18:56:27.230432 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 12256:12420, ack 1, win 310, length 164
18:56:27.230591 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 12420:12584, ack 1, win 310, length 164
18:56:27.230778 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 12584:12748, ack 1, win 310, length 164
18:56:27.230936 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 12748:12912, ack 1, win 310, length 164
18:56:27.231093 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 12912:13076, ack 1, win 310, length 164
18:56:27.231254 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 13076:13240, ack 1, win 310, length 164
18:56:27.231412 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 13240:13404, ack 1, win 310, length 164
18:56:27.231598 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 13404:13568, ack 1, win 310, length 164
18:56:27.231760 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 13568:13732, ack 1, win 310, length 164
18:56:27.231917 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 13732:13896, ack 1, win 310, length 164
18:56:27.232116 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 13896:14060, ack 1, win 310, length 164
18:56:27.232278 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 14060:14224, ack 1, win 310, length 164
18:56:27.232438 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 14224:14388, ack 1, win 310, length 164
18:56:27.232594 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 14388:14552, ack 1, win 310, length 164
18:56:27.232751 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 14552:14716, ack 1, win 310, length 164
18:56:27.232912 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 14716:14880, ack 1, win 310, length 164
18:56:27.233087 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 14880:15044, ack 1, win 310, length 164
18:56:27.233244 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 15044:15208, ack 1, win 310, length 164
18:56:27.233404 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 15208:15372, ack 1, win 310, length 164
18:56:27.233563 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 15372:15536, ack 1, win 310, length 164
18:56:27.233722 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 15536:15700, ack 1, win 310, length 164
18:56:27.233880 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 15700:15864, ack 1, win 310, length 164
18:56:27.234075 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 15864:16028, ack 1, win 310, length 164
18:56:27.234232 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 16028:16192, ack 1, win 310, length 164
18:56:27.234394 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 16192:16356, ack 1, win 310, length 164
18:56:27.234553 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 16356:16520, ack 1, win 310, length 164
18:56:27.234710 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 16520:16684, ack 1, win 310, length 164
18:56:27.234866 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 16684:16848, ack 1, win 310, length 164
18:56:27.235025 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 16848:17012, ack 1, win 310, length 164
18:56:27.235181 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 17012:17176, ack 1, win 310, length 164
18:56:27.235339 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 17176:17340, ack 1, win 310, length 164
18:56:27.235500 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 17340:17504, ack 1, win 310, length 164
18:56:27.235661 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 17504:17668, ack 1, win 310, length 164
18:56:27.235821 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 17668:17832, ack 1, win 310, length 164
18:56:27.235980 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 17832:17996, ack 1, win 310, length 164
18:56:27.236175 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 17996:18160, ack 1, win 310, length 164
18:56:27.236377 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 18160:18324, ack 1, win 310, length 164
18:56:27.236546 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 18324:18488, ack 1, win 310, length 164
18:56:27.236716 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 18488:18652, ack 1, win 310, length 164
18:56:27.236881 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 18652:18816, ack 1, win 310, length 164
18:56:27.237042 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 18816:18980, ack 1, win 310, length 164
18:56:27.237199 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 18980:19144, ack 1, win 310, length 164
18:56:27.237356 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 19144:19308, ack 1, win 310, length 164
18:56:27.237536 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 19308:19472, ack 1, win 310, length 164
18:56:27.237693 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 19472:19636, ack 1, win 310, length 164
18:56:27.237853 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 19636:19800, ack 1, win 310, length 164
18:56:27.238058 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 19800:19964, ack 1, win 310, length 164
18:56:27.238221 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 19964:20128, ack 1, win 310, length 164
18:56:27.238375 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 20128:20292, ack 1, win 310, length 164
18:56:27.238532 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 20292:20456, ack 1, win 310, length 164
18:56:27.238694 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.40779: Flags [P.], seq 20456:20620, ack 1, win 310, length 164
^C18:56:27.277918 IP 58.221.101.182.54994 > lamp-s-1vcpu-1gb-tor1-01.ssh: Flags [.], ack 250753242, win 262, options [nop,nop,TS val 1301147305 ecr 3752244391], length 0

122 packets captured
140 packets received by filter
12 packets dropped by kernel
root@lamp-s-1vcpu-1gb-tor1-01:~#






















































































































