
root@lamp-s-1vcpu-1gb-tor1-01:~# clear
root@lamp-s-1vcpu-1gb-tor1-01:~# tcpdump -n -i eth0
tcpdump: verbose output suppressed, use -v or -vv for full protocol decode
listening on eth0, link-type EN10MB (Ethernet), capture size 262144 bytes
19:16:10.855527 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 3575530679:3575530787, ack 3367172592, win 310, length 108
19:16:10.886524 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 7964:8112, ack 1, win 310, length 148
19:16:10.886640 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 8112:8260, ack 1, win 310, length 148
19:16:10.886755 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 8260:8408, ack 1, win 310, length 148
19:16:10.886921 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 8408:8556, ack 1, win 310, length 148
19:16:10.887098 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 8556:8704, ack 1, win 310, length 148
19:16:10.887264 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 8704:8852, ack 1, win 310, length 148
19:16:10.887394 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 8852:9000, ack 1, win 310, length 148
19:16:10.887509 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 9000:9148, ack 1, win 310, length 148
19:16:10.887625 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 9148:9296, ack 1, win 310, length 148
19:16:10.887741 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 9296:9444, ack 1, win 310, length 148
19:16:10.887857 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 9444:9592, ack 1, win 310, length 148
19:16:10.887995 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 9592:9740, ack 1, win 310, length 148
19:16:10.888217 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 9740:9888, ack 1, win 310, length 148
19:16:10.888427 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 9888:10036, ack 1, win 310, length 148
19:16:10.888605 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 10036:10192, ack 1, win 310, length 156
19:16:10.888792 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 10192:10348, ack 1, win 310, length 156
19:16:10.896271 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 9148, win 512, length 0
19:16:10.896343 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 10348:10504, ack 1, win 310, length 156
19:16:10.896368 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 10348, win 508, length 0
19:16:10.896684 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 10504:10860, ack 1, win 310, length 356
19:16:10.896895 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 10860:11016, ack 1, win 310, length 156
19:16:10.897095 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 11016:11172, ack 1, win 310, length 156
19:16:10.897283 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 11172:11328, ack 1, win 310, length 156
19:16:10.897440 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 11328:11484, ack 1, win 310, length 156
19:16:10.897577 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 11484:11640, ack 1, win 310, length 156
19:16:10.897721 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 11640:11796, ack 1, win 310, length 156
19:16:10.897932 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 11796:11952, ack 1, win 310, length 156
19:16:10.898078 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 11952:12108, ack 1, win 310, length 156
19:16:10.898197 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 12108:12264, ack 1, win 310, length 156
19:16:10.898308 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 12264:12420, ack 1, win 310, length 156
19:16:10.898440 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 12420:12576, ack 1, win 310, length 156
19:16:10.898593 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 12576:12732, ack 1, win 310, length 156
19:16:10.898754 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 12732:12888, ack 1, win 310, length 156
19:16:10.898918 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 12888:13044, ack 1, win 310, length 156
19:16:10.899079 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 13044:13200, ack 1, win 310, length 156
19:16:10.899276 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 13200:13356, ack 1, win 310, length 156
19:16:10.899457 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 13356:13512, ack 1, win 310, length 156
19:16:10.899646 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 13512:13668, ack 1, win 310, length 156
19:16:10.899779 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 13668:13824, ack 1, win 310, length 156
19:16:10.899924 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 13824:13980, ack 1, win 310, length 156
19:16:10.900110 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 13980:14136, ack 1, win 310, length 156
19:16:10.900234 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 14136:14292, ack 1, win 310, length 156
19:16:10.900345 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 14292:14448, ack 1, win 310, length 156
19:16:10.900510 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 14448:14604, ack 1, win 310, length 156
19:16:10.900664 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 14604:14760, ack 1, win 310, length 156
19:16:10.900783 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 14760:14916, ack 1, win 310, length 156
19:16:10.900924 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 14916:15072, ack 1, win 310, length 156
19:16:10.901091 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 15072:15228, ack 1, win 310, length 156
19:16:10.901246 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 15228:15384, ack 1, win 310, length 156
19:16:10.901460 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 15384:15540, ack 1, win 310, length 156
19:16:10.901664 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 15540:15696, ack 1, win 310, length 156
19:16:10.901794 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 15696:15852, ack 1, win 310, length 156
19:16:10.901943 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 15852:16008, ack 1, win 310, length 156
19:16:10.902063 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 16008:16164, ack 1, win 310, length 156
19:16:10.902176 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 16164:16320, ack 1, win 310, length 156
19:16:10.902286 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 16320:16476, ack 1, win 310, length 156
19:16:10.902398 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 16476:16632, ack 1, win 310, length 156
19:16:10.902509 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 16632:16788, ack 1, win 310, length 156
19:16:10.902621 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 16788:16944, ack 1, win 310, length 156
19:16:10.902732 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 16944:17100, ack 1, win 310, length 156
19:16:10.902845 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 17100:17256, ack 1, win 310, length 156
19:16:10.902956 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 17256:17412, ack 1, win 310, length 156
19:16:10.903066 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 17412:17568, ack 1, win 310, length 156
19:16:10.903176 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 17568:17724, ack 1, win 310, length 156
19:16:10.903286 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 17724:17880, ack 1, win 310, length 156
19:16:10.903403 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 17880:18036, ack 1, win 310, length 156
19:16:10.903516 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 18036:18192, ack 1, win 310, length 156
19:16:10.903628 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 18192:18348, ack 1, win 310, length 156
19:16:10.903740 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 18348:18504, ack 1, win 310, length 156
19:16:10.903850 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 18504:18660, ack 1, win 310, length 156
19:16:10.903994 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 18660:18816, ack 1, win 310, length 156
19:16:10.904111 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 18816:18972, ack 1, win 310, length 156
19:16:10.904255 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 18972:19128, ack 1, win 310, length 156
19:16:10.904377 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 19128:19284, ack 1, win 310, length 156
19:16:10.904489 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 19284:19440, ack 1, win 310, length 156
19:16:10.904599 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 19440:19596, ack 1, win 310, length 156
19:16:10.904711 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 19596:19752, ack 1, win 310, length 156
19:16:10.904821 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 19752:19908, ack 1, win 310, length 156
19:16:10.904947 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 19908:20064, ack 1, win 310, length 156
19:16:10.905146 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 20064:20220, ack 1, win 310, length 156
19:16:10.905289 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 20220:20376, ack 1, win 310, length 156
19:16:10.905410 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 20376:20532, ack 1, win 310, length 156
19:16:10.905525 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 20532:20688, ack 1, win 310, length 156
19:16:10.905636 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 20688:20844, ack 1, win 310, length 156
19:16:10.905754 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 20844:21000, ack 1, win 310, length 156
19:16:10.905872 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 21000:21156, ack 1, win 310, length 156
19:16:10.906047 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 21156:21312, ack 1, win 310, length 156
19:16:10.906166 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 21312:21468, ack 1, win 310, length 156
19:16:10.906278 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 21468:21624, ack 1, win 310, length 156
19:16:10.906393 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 21624:21780, ack 1, win 310, length 156
19:16:10.906505 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 21780:21936, ack 1, win 310, length 156
19:16:10.906614 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 21936:22092, ack 1, win 310, length 156
19:16:10.906725 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 22092:22248, ack 1, win 310, length 156
19:16:10.906836 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 22248:22404, ack 1, win 310, length 156
19:16:10.907014 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 22404:22560, ack 1, win 310, length 156
19:16:10.907198 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 22560:22716, ack 1, win 310, length 156
19:16:10.907326 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 22716:22872, ack 1, win 310, length 156
19:16:10.907445 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 22872:23028, ack 1, win 310, length 156
19:16:10.910363 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 15540, win 512, length 0
19:16:10.910431 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 23028:23184, ack 1, win 310, length 156
19:16:10.910457 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 20532, win 512, length 0
19:16:10.910480 IP 198.96.85.21.63313 > 159.203.42.239.22: Flags [.], ack 22716, win 512, length 0
19:16:10.910714 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 23184:23636, ack 1, win 310, length 452
19:16:10.910871 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 23636:23792, ack 1, win 310, length 156
19:16:10.911000 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 23792:23948, ack 1, win 310, length 156
19:16:10.911184 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 23948:24104, ack 1, win 310, length 156
19:16:10.911356 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 24104:24260, ack 1, win 310, length 156
19:16:10.911488 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 24260:24416, ack 1, win 310, length 156
19:16:10.911609 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 24416:24572, ack 1, win 310, length 156
19:16:10.911722 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 24572:24728, ack 1, win 310, length 156
19:16:10.911834 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 24728:24884, ack 1, win 310, length 156
19:16:10.911986 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 24884:25040, ack 1, win 310, length 156
19:16:10.912138 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 25040:25196, ack 1, win 310, length 156
19:16:10.912318 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 25196:25352, ack 1, win 310, length 156
19:16:10.912457 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 25352:25508, ack 1, win 310, length 156
19:16:10.912597 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 25508:25664, ack 1, win 310, length 156
19:16:10.912710 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 25664:25820, ack 1, win 310, length 156
19:16:10.912822 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 25820:25976, ack 1, win 310, length 156
19:16:10.912934 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 25976:26132, ack 1, win 310, length 156
19:16:10.913045 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 26132:26288, ack 1, win 310, length 156
19:16:10.913157 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 26288:26444, ack 1, win 310, length 156
19:16:10.913271 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 26444:26600, ack 1, win 310, length 156
19:16:10.913400 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 26600:26756, ack 1, win 310, length 156
19:16:10.913575 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 26756:26912, ack 1, win 310, length 156
19:16:10.913704 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 26912:27068, ack 1, win 310, length 156
19:16:10.913819 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 27068:27224, ack 1, win 310, length 156
19:16:10.913998 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 27224:27380, ack 1, win 310, length 156
19:16:10.914189 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 27380:27536, ack 1, win 310, length 156
19:16:10.914350 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 27536:27692, ack 1, win 310, length 156
19:16:10.914473 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 27692:27848, ack 1, win 310, length 156
19:16:10.914586 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 27848:28004, ack 1, win 310, length 156
19:16:10.914697 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 28004:28160, ack 1, win 310, length 156
19:16:10.914809 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 28160:28316, ack 1, win 310, length 156
19:16:10.914931 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 28316:28472, ack 1, win 310, length 156
19:16:10.915127 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 28472:28628, ack 1, win 310, length 156
19:16:10.915271 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 28628:28784, ack 1, win 310, length 156
19:16:10.915392 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 28784:28940, ack 1, win 310, length 156
19:16:10.915505 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 28940:29096, ack 1, win 310, length 156
19:16:10.915617 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 29096:29252, ack 1, win 310, length 156
19:16:10.915731 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 29252:29408, ack 1, win 310, length 156
19:16:10.915847 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 29408:29564, ack 1, win 310, length 156
19:16:10.915995 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 29564:29720, ack 1, win 310, length 156
19:16:10.916113 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 29720:29876, ack 1, win 310, length 156
19:16:10.916234 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 29876:30032, ack 1, win 310, length 156
19:16:10.916348 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 30032:30188, ack 1, win 310, length 156
19:16:10.916460 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 30188:30344, ack 1, win 310, length 156
19:16:10.916571 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 30344:30500, ack 1, win 310, length 156
19:16:10.916683 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 30500:30656, ack 1, win 310, length 156
19:16:10.916795 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 30656:30812, ack 1, win 310, length 156
19:16:10.916923 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 30812:30968, ack 1, win 310, length 156
19:16:10.917047 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 30968:31124, ack 1, win 310, length 156
19:16:10.917238 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 31124:31280, ack 1, win 310, length 156
19:16:10.917369 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 31280:31436, ack 1, win 310, length 156
19:16:10.917483 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 31436:31592, ack 1, win 310, length 156
19:16:10.917596 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 31592:31748, ack 1, win 310, length 156
19:16:10.917707 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 31748:31904, ack 1, win 310, length 156
19:16:10.917854 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 31904:32060, ack 1, win 310, length 156
19:16:10.918016 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 32060:32216, ack 1, win 310, length 156
19:16:10.918135 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 32216:32372, ack 1, win 310, length 156
19:16:10.918246 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 32372:32528, ack 1, win 310, length 156
19:16:10.918358 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 32528:32684, ack 1, win 310, length 156
19:16:10.918472 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 32684:32840, ack 1, win 310, length 156
19:16:10.918585 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 32840:32996, ack 1, win 310, length 156
19:16:10.918700 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 32996:33152, ack 1, win 310, length 156
19:16:10.918812 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 33152:33308, ack 1, win 310, length 156
19:16:10.918923 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 33308:33464, ack 1, win 310, length 156
19:16:10.919034 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 33464:33620, ack 1, win 310, length 156
19:16:10.919146 IP 159.203.42.239.22 > 198.96.85.21.63313: Flags [P.], seq 33620:33776, ack 1, win 310, length 156
